Rk,Player,NationFixed,Nation,Pos,Squad,AgeFixed,Age,Born,MatchesPlayed,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
130,Abdoulaye Doucouré,,MLI,MF,Everton,30,30-030,1993,10,2,228,2.5,0,0,0,0,0,1,0,0.2,0.2,0,0.2
131,Cheick Doucouré,,MLI,MF,Crystal Palace,23,23-023,2000,18,18,1476,16.4,0,1,0,0,0,6,0,0.7,0.7,1.3,2
132,Flynn Downes,,GBR,MF,West Ham,24,24-011,1999,8,3,285,3.2,0,0,0,0,0,0,0,0.2,0.2,0,0.3
133,Cody Drameh,,GBR,DF,Leeds United,21,21-054,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0
134,Shane Duffy,,IRL,FWDF,Fulham,31,31-030,1992,4,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0
135,Lewis Dunk,,GBR,DF,Brighton,31,31-071,1991,19,19,1709,19,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9
136,Malcolm Ebiowei,,GBR,MFFW,Crystal Palace,19,19-149,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0
137,Ederson,,BRA,GK,Manchester City,29,29-167,1993,20,20,1800,20,0,1,0,0,0,0,0,0,0,0.2,0.2
138,Odsonne Édouard,,FRA,FWMF,Crystal Palace,25,25-015,1998,18,11,983,10.9,3,2,3,0,0,3,0,2.7,2.7,0.9,3.6
139,Samuel Edozie,,GBR,FWMF,Southampton,20,20-003,2003,13,4,466,5.2,0,0,0,0,0,0,0,0.8,0.8,0.3,1.1
140,Anthony Elanga,,SWE,FW,Manchester Utd,20,20-279,2002,13,5,397,4.4,0,1,0,0,0,0,0,0.6,0.6,0.8,1.4
141,Harvey Elliott,,GBR,MFFW,Liverpool,19,19-302,2003,19,13,1116,12.4,1,1,1,0,0,1,0,1.1,1.1,2.3,3.4
