Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
178,Morgan Gibbs-White,eng ENG,FWMF,Nott'ham Forest,23-004,2000,17,16,1376,15.3,2,4,2,0,0,1,0,3.0,3.0,4.5,7.5,32f60ed8
179,Billy Gilmour,sct SCO,MF,Brighton,21-234,2001,6,1,107,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,df10e27c
180,Degnand Gnonto,it ITA,FWMF,Leeds United,19-087,2003,8,6,537,6.0,1,1,1,0,0,2,0,1.1,1.1,0.8,1.9,75fdd638
181,Ben Godfrey,eng ENG,DF,Everton,25-016,1998,4,3,211,2.3,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2,9f7c837d
182,Toti Gomes,pt POR,DF,Wolves,24-015,1999,7,3,310,3.4,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,f0caab96
183,Joe Gomez,eng ENG,DF,Liverpool,25-253,1997,16,10,1016,11.3,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,7a11550b
184,Sergio Gómez,es ESP,DFMF,Manchester City,22-149,2000,5,0,111,1.2,0,1,0,0,0,0,0,0.1,0.1,0.4,0.5,01e5f06e
185,Anthony Gordon,eng ENG,FW,Everton,21-341,2001,16,12,1095,12.2,3,0,3,0,0,6,0,3.3,3.3,0.6,3.9,2bd83368
186,Demarai Gray,eng ENG,FWMF,Everton,26-217,1996,20,19,1679,18.7,3,1,2,1,1,1,0,3.7,2.9,2.7,5.6,4468ec10
187,Jack Grealish,eng ENG,FW,Manchester City,27-143,1995,14,10,950,10.6,2,3,2,0,0,0,0,2.6,2.6,3.3,5.9,b0b4fd3e
188,Sam Greenwood,eng ENG,MFFW,Leeds United,21-005,2002,10,2,309,3.4,1,2,1,0,0,1,0,0.6,0.6,0.8,1.5,f3354c07
189,Pascal Groß,de GER,MFDF,Brighton,31-230,1991,19,19,1641,18.2,6,3,6,0,0,2,0,3.3,3.3,5.0,8.3,8aec0537
190,Vicente Guaita,es ESP,GK,Crystal Palace,36-021,1987,20,20,1800,20.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,ab13a5aa
191,Gonçalo Guedes,pt POR,FWMF,Wolves,26-063,1996,13,8,707,7.9,1,1,1,0,0,1,0,1.2,1.2,0.5,1.7,e6bc67d7
192,Marc Guéhi,eng ENG,DF,Crystal Palace,22-202,2000,19,19,1710,19.0,0,0,0,0,0,7,0,0.4,0.4,0.2,0.6,d0706b27
193,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-076,1997,17,17,1397,15.5,3,3,3,0,0,3,0,0.9,0.9,1.8,2.7,82518f62
194,İlkay Gündoğan,de GER,MF,Manchester City,32-099,1990,17,14,1245,13.8,2,2,2,0,0,0,0,3.3,3.3,2.5,5.8,819b3158
195,Darko Gyabi,eng ENG,FW,Leeds United,18-347,2004,1,0,8,0.1,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,56d838f7
196,Erling Haaland,no NOR,FW,Manchester City,22-194,2000,19,18,1546,17.2,25,3,21,4,4,3,0,16.9,13.7,2.9,16.7,1f44ac21
197,Lewis Hall,eng ENG,DFMF,Chelsea,18-145,2004,5,4,304,3.4,0,0,0,0,0,1,0,0.5,0.5,0.3,0.7,da011f18
