Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
306,Scott McTominay,sct SCO,MF,Manchester Utd,26-054,1996,15,7,753,8.4,0,0,0,0,0,5,0,0.8,0.8,0.2,1.0,d93c2511
307,Ben Mee,eng ENG,DF,Brentford,33-132,1989,19,19,1658,18.4,2,0,2,0,0,1,0,1.3,1.3,0.2,1.5,8df7a2fb
308,Edouard Mendy,sn SEN,GK,Chelsea,30-336,1992,9,8,765,8.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,33887998
309,Nampalys Mendy,sn SEN,MF,Leicester City,30-222,1992,9,2,328,3.6,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1598599e
310,Chris Mepham,wls WAL,DF,Bournemouth,25-087,1997,16,16,1431,15.9,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,fed96827
311,Illan Meslier,fr FRA,GK,Leeds United,22-335,2000,19,19,1710,19.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6b625ac2
312,Alexander Mighten,eng ENG,FW,Nott'ham Forest,20-295,2002,1,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10ec4169
313,Luka Milivojević,rs SRB,MF,Crystal Palace,31-299,1991,11,2,293,3.3,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2ce2508a
314,James Milner,eng ENG,DFMF,Liverpool,37-027,1986,13,5,540,6.0,0,1,0,0,0,1,0,0.4,0.4,0.7,1.1,2f90f6b8
315,Yerry Mina,co COL,DF,Everton,28-130,1994,3,3,234,2.6,1,0,1,0,0,1,0,0.2,0.2,0.0,0.2,6d5701f2
316,Tyrone Mings,eng ENG,DF,Aston Villa,29-324,1993,18,18,1620,18.0,0,1,0,0,0,4,0,0.0,0.0,0.6,0.6,8397a50c
317,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-152,1999,18,16,1280,14.2,0,2,0,0,0,2,1,0.3,0.3,0.6,1.0,5cbd1eb0
318,Kaoru Mitoma,jp JPN,FWMF,Brighton,25-256,1997,14,7,750,8.3,4,1,4,0,0,0,0,1.7,1.7,2.6,4.3,74618572
319,Aleksandar Mitrović,rs SRB,FW,Fulham,28-137,1994,17,17,1461,16.2,11,1,8,3,6,5,0,11.3,6.6,2.0,8.5,3925dbd6
320,Kieffer Moore,wls WAL,FW,Bournemouth,30-176,1992,20,12,1119,12.4,4,0,4,0,0,0,0,3.2,3.2,0.3,3.5,01ce9e70
321,Andrew Moran,ie IRL,FW,Brighton,19-108,2003,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,c4720845
322,Álex Moreno,es ESP,DF,Aston Villa,29-237,1993,2,1,171,1.9,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16e9d0ea
323,Mason Mount,eng ENG,MFFW,Chelsea,24-021,1999,19,18,1442,16.0,3,2,3,0,0,3,0,1.9,1.9,2.9,4.8,9674002f
324,Lucas Moura,br BRA,MFDF,Tottenham,30-171,1992,8,0,98,1.1,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2b622f01
325,João Moutinho,pt POR,MF,Wolves,36-145,1986,18,15,1320,14.7,0,2,0,0,0,2,0,0.9,0.9,2.1,3.1,f5a00fa4
326,Divin Mubama,eng ENG,FW,West Ham,18-098,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,92868cb5
327,Mykhailo Mudryk,ua UKR,FW,Chelsea,22-026,2001,1,0,36,0.4,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,049a888d
328,Jacob Murphy,eng ENG,FW,Newcastle Utd,27-341,1995,20,5,537,6.0,1,1,1,0,0,0,0,0.8,0.8,0.6,1.4,de112b84
329,Enock Mwepu,zm ZAM,FWMF,Brighton,25-030,1998,6,2,213,2.4,0,1,0,0,0,0,0,0.2,0.2,0.5,0.7,1d5cab82
330,Vitaliy Mykolenko,ua UKR,DFMF,Everton,23-247,1999,20,20,1688,18.8,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,30d4a2e5
331,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-046,1996,14,10,876,9.7,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,6b47c5db
332,Reiss Nelson,eng ENG,FW,Arsenal,23-052,1999,2,0,65,0.7,2,1,2,0,0,0,0,0.6,0.6,0.1,0.7,c5bdb6e3
333,Neto,br BRA,GK,Bournemouth,33-196,1989,10,10,855,9.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,a9dc785c
334,Pedro Neto,pt POR,FWMF,Wolves,22-328,2000,8,8,599,6.7,0,0,0,0,0,1,0,0.7,0.7,1.2,1.9,7ba2eaa9
335,Rúben Neves,pt POR,MF,Wolves,25-324,1997,19,19,1710,19.0,4,0,2,2,2,7,0,2.8,1.3,0.6,1.8,44bfb6c5
336,Moussa Niakhate,fr FRA,DF,Nott'ham Forest,26-329,1996,2,2,160,1.8,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,00242715
337,Rasmus Nissen,dk DEN,DF,Leeds United,25-204,1997,14,13,1133,12.6,0,1,0,0,0,4,0,0.4,0.4,0.8,1.2,39769cff
338,Eddie Nketiah,eng ENG,FW,Arsenal,23-246,1999,17,5,601,6.7,4,0,4,0,0,1,0,5.3,5.3,0.2,5.5,a53649b7
339,Matheus Nunes,pt POR,MF,Wolves,24-157,1998,17,15,1249,13.9,0,1,0,0,0,1,0,1.8,1.8,1.6,3.4,e6af02e0
340,Darwin Núñez,uy URU,FW,Liverpool,23-221,1999,14,10,899,10.0,5,2,5,0,0,1,1,7.4,7.4,3.3,10.7,4d77b365
341,Ethan Nwaneri,eng ENG,FW,Arsenal,15-316,2007,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7f94982c
342,Christian Nørgaard,dk DEN,MF,Brentford,28-327,1994,10,9,779,8.7,1,1,1,0,0,0,0,0.8,0.8,0.8,1.6,df0a4c90
343,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-109,1998,13,6,584,6.5,1,0,1,0,0,2,0,0.3,0.3,0.2,0.5,089667a5
344,Angelo Ogbonna,it ITA,DF,West Ham,34-253,1988,5,3,297,3.3,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,74b2cd7e
345,Michael Olise,fr FRA,MFFW,Crystal Palace,21-050,2001,19,13,1202,13.4,2,4,2,0,0,2,0,1.3,1.3,2.6,3.9,c4486bac
346,Robin Olsen,se SWE,GK,Aston Villa,33-023,1990,3,2,236,2.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e7ee38c3
347,Amadou Onana,be BEL,MF,Everton,21-168,2001,18,16,1395,15.5,1,1,1,0,0,5,0,1.9,1.9,1.0,2.9,828657ff
348,Josh Onomah,eng ENG,MF,Fulham,25-279,1997,2,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6612cd8c
349,Frank Onyeka,ng NGA,MF,Brentford,25-030,1998,12,4,442,4.9,0,1,0,0,0,0,0,0.4,0.4,0.5,0.9,2944f86f
350,Mislav Oršić,hr CRO,MF,Southampton,30-033,1992,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ee950928
351,Dango Ouattara,bf BFA,MF,Bournemouth,20-354,2002,1,1,90,1.0,0,1,0,0,0,0,0,0.3,0.3,0.1,0.4,2f9e4435
352,Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-169,1993,7,4,308,3.4,1,0,1,0,0,0,0,1.3,1.3,0.9,2.1,38c7feef
353,David Ozoh,,FW,Crystal Palace,17-245,2005,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,d00d45ab
354,João Palhinha,pt POR,MF,Fulham,27-206,1995,20,20,1775,19.7,3,0,3,0,0,7,0,1.9,1.9,0.1,2.0,a78ff07f
355,Cole Palmer,eng ENG,FWMF,Manchester City,20-270,2002,9,0,119,1.3,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,dc7f8a28
356,Emerson Palmieri,it ITA,DFMF,West Ham,28-181,1994,9,5,367,4.1,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,e0bc6fdc
357,Lucas Paquetá,br BRA,MF,West Ham,25-157,1997,13,12,998,11.1,1,2,0,1,1,3,0,2.5,1.7,0.9,2.6,9b6f7fd5
358,Thomas Partey,gh GHA,MF,Arsenal,29-232,1993,16,16,1391,15.5,2,0,2,0,0,2,0,1.5,1.5,0.8,2.3,529f49ab
359,Nathan Patterson,sct SCO,DFMF,Everton,21-107,2001,13,11,988,11.0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,230f0471
360,Ben Pearson,eng ENG,MF,Bournemouth,28-027,1995,7,3,286,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,a6b461e7
361,Andreas Pereira,br BRA,MF,Fulham,27-030,1996,21,21,1726,19.2,2,5,1,1,1,5,0,3.3,2.5,4.3,6.8,6639e500
362,Ayoze Pérez,es ESP,MFFW,Leicester City,29-186,1993,8,3,382,4.2,0,1,0,0,0,0,0,1.1,1.1,1.5,2.6,819aa8e7
363,Ivan Perišić,hr CRO,DFMF,Tottenham,33-363,1989,21,14,1268,14.1,0,5,0,0,0,2,0,1.5,1.5,3.6,5.0,6fe90922
364,Romain Perraud,fr FRA,DF,Southampton,25-131,1997,18,12,1016,11.3,2,2,2,0,0,2,0,0.9,0.9,1.5,2.4,6dfd8f05
365,Kalvin Phillips,eng ENG,MF,Manchester City,27-060,1995,3,0,21,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4f565d77
366,Nathaniel Phillips,eng ENG,DF,Liverpool,25-316,1997,2,1,66,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,515ebe8d
367,Jordan Pickford,eng ENG,GK,Everton,28-330,1994,19,19,1710,19.0,0,1,0,0,0,3,0,0.0,0.0,0.1,0.1,4806ec67
368,Ethan Pinnock,jm JAM,DF,Brentford,29-247,1993,12,12,1080,12.0,0,0,0,0,0,0,0,1.0,1.0,0.6,1.6,e541326e
369,Daniel Podence,pt POR,FWMF,Wolves,27-102,1995,20,16,1304,14.5,5,0,5,0,0,4,0,3.1,3.1,1.9,5.0,7fcc71d8
370,Nick Pope,eng ENG,GK,Newcastle Utd,30-287,1992,20,20,1800,20.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,4b40d9ca
371,Dennis Praet,be BEL,MF,Leicester City,28-262,1994,10,4,339,3.8,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,86695068
372,Isaac Price,nir NIR,MF,Everton,19-127,2003,1,0,33,0.4,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,b9403c99
373,Christian Pulisic,us USA,FWDF,Chelsea,24-135,1998,16,6,609,6.8,1,1,1,0,0,1,0,1.3,1.3,0.5,1.8,1bf33a9a
374,Aaron Ramsdale,eng ENG,GK,Arsenal,24-262,1998,19,19,1710,19.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,466fb2c5
375,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-248,2001,17,14,1191,13.2,2,2,2,0,0,4,0,1.3,1.3,1.5,2.8,1544f145
376,Marcus Rashford,eng ENG,FW,Manchester Utd,25-092,1997,20,18,1615,17.9,9,3,9,0,0,2,0,7.5,7.5,2.3,9.8,a1d5bd30
377,David Raya,es ESP,GK,Brentford,27-138,1995,20,20,1800,20.0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,98ea5115
378,Tim Ream,us USA,DF,Fulham,35-118,1987,21,21,1887,21.0,1,0,1,0,0,2,0,0.3,0.3,0.0,0.3,28b40c9c
379,Nathan Redmond,eng ENG,DF,Southampton,28-331,1994,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ab651565
380,Harrison Reed,eng ENG,MF,Fulham,28-004,1995,20,20,1636,18.2,2,1,2,0,0,5,0,1.3,1.3,1.8,3.1,803ae100
381,Bobby Reid,jm JAM,FWDF,Fulham,29-363,1993,20,20,1659,18.4,4,1,4,0,0,6,0,3.2,3.2,1.2,4.4,0f7533cd
382,Declan Rice,eng ENG,MF,West Ham,24-017,1999,20,20,1800,20.0,1,1,1,0,1,3,0,1.8,1.0,2.1,3.1,1c7012b8
383,Chris Richards,us USA,DFMF,Crystal Palace,22-309,2000,6,2,258,2.9,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0a3d6d2b
384,Richarlison,br BRA,MFFW,Tottenham,25-266,1997,13,5,487,5.4,0,2,0,0,0,2,0,1.8,1.8,1.3,3.1,fa031b34
385,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-144,1996,4,0,49,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7a1f2c08
386,Matt Ritchie,sct SCO,FW,Newcastle Utd,33-143,1989,2,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,71ef519e
387,Andrew Robertson,sct SCO,DF,Liverpool,28-326,1994,17,14,1237,13.7,0,5,0,0,0,0,0,0.4,0.4,3.4,3.7,2e4f5f03
388,Antonee Robinson,us USA,DF,Fulham,25-176,1997,18,18,1558,17.3,0,0,0,0,0,5,0,0.0,0.0,0.7,0.7,289601e6
389,Marc Roca,es ESP,MF,Leeds United,26-066,1996,19,18,1405,15.6,1,1,1,0,0,4,0,0.9,0.9,0.8,1.7,da27e268
390,Marek Rodák,sk SVK,GK,Fulham,26-049,1996,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17acc2ed
391,Rodri,es ESP,MF,Manchester City,26-223,1996,19,19,1643,18.3,1,4,1,0,0,3,0,2.5,2.5,2.2,4.7,6434f10d
392,Rodrigo,es ESP,FWMF,Leeds United,31-331,1991,18,17,1296,14.4,10,1,9,1,1,3,0,6.5,5.7,1.5,7.2,1fb1c435
393,Mads Roerslev,dk DEN,DF,Brentford,23-221,1999,12,9,813,9.0,0,0,0,0,0,0,0,0.2,0.2,1.0,1.2,57c94db2
394,Cristian Romero,ar ARG,DF,Tottenham,24-279,1998,13,12,1108,12.3,0,0,0,0,0,5,0,0.7,0.7,0.3,0.9,a3d94a58
395,Oriol Romeu,es ESP,MF,Southampton,31-129,1991,1,1,74,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4b511457
396,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37-360,1985,10,4,525,5.8,1,0,1,0,0,2,0,1.9,1.9,0.4,2.3,dea698d9
397,Connor Ronan,ie IRL,MF,Wolves,24-331,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1b804500
398,Salomón Rondón,ve VEN,FW,Everton,33-137,1989,7,1,109,1.2,0,0,0,0,0,0,0,0.8,0.8,0.2,1.0,b318a643
399,Joe Rothwell,eng ENG,MFDF,Bournemouth,28-020,1995,6,1,132,1.5,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,10a10454
400,José Sá,pt POR,GK,Wolves,30-014,1993,20,20,1800,20.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,903b6e8b
401,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25-325,1997,12,4,484,5.4,1,3,1,0,0,1,0,1.0,1.0,1.2,2.2,2b16cb1a
402,Bukayo Saka,eng ENG,FW,Arsenal,21-148,2001,19,19,1621,18.0,7,7,6,1,1,4,0,5.9,5.3,4.2,9.5,bc7dc64d
403,Mohamed Salah,eg EGY,FW,Liverpool,30-230,1992,19,19,1686,18.7,7,4,7,0,0,0,0,9.0,9.0,3.7,12.7,e342ad68
404,William Saliba,fr FRA,DF,Arsenal,21-313,2001,19,19,1695,18.8,2,1,2,0,0,4,0,0.9,0.9,0.9,1.8,972aeb2a
405,Mohammed Salisu,gh GHA,DF,Southampton,23-289,1999,19,19,1709,19.0,0,1,0,0,0,4,0,1.2,1.2,0.5,1.6,0b33f6ad
406,Albert Sambi Lokonga,be BEL,MF,Arsenal,23-101,1999,6,2,198,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1b4f1169
407,Davinson Sánchez,co COL,DF,Tottenham,26-233,1996,11,6,555,6.2,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,da7b447d
408,Robert Sánchez,es ESP,GK,Brighton,25-074,1997,19,19,1710,19.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6a713852
409,Jadon Sancho,eng ENG,FW,Manchester Utd,22-312,2000,10,10,714,7.9,2,1,2,0,0,0,0,1.6,1.6,0.8,2.5,dbf053da
410,Morgan Sanson,fr FRA,MF,Aston Villa,28-166,1994,2,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6e7f1353
411,Pablo Sarabia,es ESP,FW,Wolves,30-265,1992,1,0,45,0.5,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,9744ff80
412,Jeremy Sarmiento,ec ECU,MF,Brighton,20-229,2002,6,1,131,1.5,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,ac0d576d
413,Gianluca Scamacca,it ITA,FW,West Ham,24-030,1999,16,11,926,10.3,3,0,3,0,0,3,0,2.5,2.5,0.7,3.1,8790f988
414,Gustavo Scarpa,br BRA,MF,Nott'ham Forest,29-026,1994,3,1,105,1.2,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2964fd20
415,Kevin Schade,de GER,FW,Brentford,21-065,2001,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52afb588
416,Fabian Schär,ch SUI,DF,Newcastle Utd,31-042,1991,19,19,1693,18.8,1,0,1,0,0,4,0,2.1,2.1,1.0,3.1,c8aa95da
417,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,30-039,1992,20,17,1478,16.4,0,0,0,0,0,4,0,1.1,1.1,0.5,1.6,3312f911
418,Nélson Semedo,pt POR,DF,Wolves,29-076,1993,18,13,1099,12.2,0,1,0,0,0,4,1,0.1,0.1,0.4,0.4,d04b94db
419,Marcos Senesi,ar ARG,DF,Bournemouth,25-266,1997,16,15,1286,14.3,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,35141f4c
420,Ryan Sessegnon,eng ENG,DF,Tottenham,22-258,2000,16,9,801,8.9,2,0,2,0,0,4,0,1.6,1.6,1.1,2.7,6aa3e78b
421,Luke Shaw,eng ENG,DF,Manchester Utd,27-203,1995,16,15,1323,14.7,1,1,1,0,0,4,0,0.5,0.5,1.6,2.1,9c94165b
422,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30-338,1992,3,0,37,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3727dd3c
423,Bernardo Silva,pt POR,MFFW,Manchester City,28-174,1994,19,15,1327,14.7,2,5,2,0,0,2,0,1.4,1.4,2.4,3.8,3eb22ec9
424,Thiago Silva,br BRA,DF,Chelsea,38-131,1984,18,17,1614,17.9,0,2,0,0,0,1,0,1.0,1.0,0.4,1.3,86e7deaf
425,Ellis Simms,eng ENG,FW,Everton,22-026,2001,2,0,17,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26d3b5be
426,Luis Sinisterra,co COL,FW,Leeds United,23-228,1999,10,6,474,5.3,2,0,2,0,0,3,1,1.5,1.5,0.2,1.7,8e16dd48
427,Oliver Skipp,eng ENG,MF,Tottenham,22-137,2000,8,3,198,2.2,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,6250083a
428,Adam Smith,eng ENG,DF,Bournemouth,31-277,1991,19,19,1637,18.2,0,1,0,0,0,5,0,0.4,0.4,0.6,1.0,20b104bc
429,Emile Smith Rowe,eng ENG,MFFW,Arsenal,22-187,2000,5,0,52,0.6,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,17695062
430,Cédric Soares,pt POR,DF,Arsenal,31-153,1991,2,0,29,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,839c14e1
431,Dominic Solanke,eng ENG,FWMF,Bournemouth,25-139,1997,16,15,1341,14.9,3,3,3,0,0,1,0,2.9,2.9,1.2,4.1,e77dc3b2
432,Manor Solomon,il ISR,FW,Fulham,23-191,1999,3,0,44,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,886f9aac
433,Tomáš Souček,cz CZE,MF,West Ham,27-338,1995,20,18,1561,17.3,1,1,1,0,0,1,0,2.5,2.5,0.7,3.3,6613c819
434,Boubakary Soumaré,fr FRA,MF,Leicester City,23-338,1999,14,12,836,9.3,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,ae59b359
435,Çağlar Söyüncü,tr TUR,DF,Leicester City,26-253,1996,1,1,71,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21166ff4
436,Djed Spence,eng ENG,FWDF,Tottenham,22-175,2000,4,0,7,0.1,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,9bc9a519
437,Jack Stacey,eng ENG,DF,Bournemouth,26-300,1996,9,3,297,3.3,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,558807c0
438,Junior Stanislas,eng ENG,MF,Bournemouth,33-066,1989,4,0,61,0.7,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,6992791d
439,Jay Stansfield,eng ENG,FW,Fulham,20-068,2002,3,1,87,1.0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,b2626673
440,Jack Stephens,eng ENG,DF,Southampton,29-004,1994,2,0,46,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6adbc307
441,Jack Stephens,eng ENG,DF,Bournemouth,29-004,1994,4,2,183,2.0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6adbc307
442,Raheem Sterling,eng ENG,FWMF,Chelsea,28-054,1994,15,14,1113,12.4,4,2,4,0,0,3,0,3.4,3.4,2.9,6.3,b400bde0
443,John Stones,eng ENG,DF,Manchester City,28-248,1994,14,13,1181,13.1,0,2,0,0,0,1,0,0.6,0.6,1.3,1.9,5eecec3d
444,Pascal Struijk,nl NED,DF,Leeds United,23-173,1999,18,18,1589,17.7,2,1,2,0,0,3,0,1.0,1.0,2.3,3.4,f4d296e4
445,Crysencio Summerville,nl NED,FW,Leeds United,21-093,2001,12,5,556,6.2,4,1,4,0,0,2,0,1.5,1.5,0.7,2.2,df04eb4b
446,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-187,1998,13,1,246,2.7,1,0,1,0,0,1,0,1.7,1.7,0.1,1.7,b017b770
447,Japhet Tanganga,eng ENG,DF,Tottenham,23-306,1999,1,1,66,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,e9971f2d
448,Matt Targett,eng ENG,DF,Newcastle Utd,27-135,1995,10,4,426,4.7,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,e514ab62
449,James Tarkowski,eng ENG,DF,Everton,30-073,1992,20,20,1800,20.0,0,0,0,0,0,4,0,1.0,1.0,1.1,2.1,15ea812b
450,Marcus Tavernier,eng ENG,MFFW,Bournemouth,23-315,1999,15,15,1283,14.3,2,4,2,0,0,1,0,1.7,1.7,2.2,3.8,5c0da4a4
451,Kenny Tete,nl NED,DF,Fulham,27-114,1995,15,14,1237,13.7,0,4,0,0,0,6,0,0.3,0.3,0.9,1.2,77d7c96f
452,Luke Thomas,eng ENG,DF,Leicester City,21-235,2001,9,8,681,7.6,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,fc027d02
453,Youri Tielemans,be BEL,MF,Leicester City,25-269,1997,20,18,1557,17.3,3,1,2,1,2,2,0,2.3,0.7,3.2,3.9,56f7a928
454,Kieran Tierney,sct SCO,DF,Arsenal,25-240,1997,15,4,469,5.2,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,fce2302c
455,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-165,1995,10,6,613,6.8,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,a105d46a
456,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-087,1998,15,4,506,5.6,0,1,0,0,0,1,0,0.1,0.1,0.6,0.7,b3af9be1
457,James Tomkins,eng ENG,DF,Crystal Palace,33-308,1989,3,1,157,1.7,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,e7ca0439
458,Ivan Toney,eng ENG,FW,Brentford,26-321,1996,18,18,1610,17.9,13,3,9,4,4,7,0,10.6,7.4,2.5,9.9,e09f279b
459,Adama Traoré,es ESP,FWMF,Wolves,27-006,1996,17,7,806,9.0,1,0,1,0,0,0,0,0.7,0.7,1.0,1.7,9a28eba4
460,Boubacar Traoré,ml MLI,MF,Wolves,21-164,2001,8,4,384,4.3,0,1,0,0,0,2,0,0.1,0.1,0.2,0.2,999ceb5f
461,Mark Travers,ie IRL,GK,Bournemouth,23-258,1999,11,10,945,10.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,fe558029
462,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-134,1990,20,20,1774,19.7,1,4,1,0,0,5,0,0.5,0.5,6.3,6.8,21512407
463,Leandro Trossard,be BEL,FWMF,Arsenal,28-058,1994,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,38ceb24a
464,Leandro Trossard,be BEL,FWMF,Brighton,28-058,1994,16,16,1315,14.6,7,2,7,0,0,1,0,4.4,4.4,2.1,6.5,38ceb24a
465,Kostas Tsimikas,gr GRE,DF,Liverpool,26-264,1996,12,5,441,4.9,0,3,0,0,0,1,0,0.6,0.6,0.8,1.5,f315ca93
466,Deniz Undav,de GER,FWMF,Brighton,26-196,1996,8,0,101,1.1,0,0,0,0,0,0,0,0.6,0.6,0.2,0.7,dd549382
467,Yan Valery,tn TUN,DF,Southampton,23-343,1999,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,531a4aa8
468,Virgil van Dijk,nl NED,DF,Liverpool,31-207,1991,17,17,1485,16.5,2,0,2,0,0,1,0,1.1,1.1,0.2,1.2,e06683ca
469,Raphaël Varane,fr FRA,DF,Manchester Utd,29-281,1993,15,13,1119,12.4,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,9f8e9423
470,Jamie Vardy,eng ENG,FW,Leicester City,36-020,1987,20,11,1137,12.6,1,4,1,0,0,1,0,2.5,2.5,0.6,3.1,45963054
471,Joël Veltman,nl NED,DF,Brighton,31-016,1992,17,13,1193,13.3,0,1,0,0,0,1,0,0.6,0.6,0.2,0.8,dad4b285
472,Fabio Vieira,pt POR,MFFW,Arsenal,22-246,2000,10,1,250,2.8,1,1,1,0,0,0,0,0.3,0.3,1.1,1.5,6412cc03
473,Rúben Vinagre,pt POR,DFMF,Everton,23-297,1999,2,0,26,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b937e490
474,Carlos Vinícius,br BRA,FW,Fulham,27-312,1995,13,4,427,4.7,1,0,1,0,0,1,0,1.1,1.1,0.5,1.6,8b529245
475,Theo Walcott,eng ENG,FWMF,Southampton,33-321,1989,3,1,113,1.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1ecb65be
476,Kyle Walker,eng ENG,DF,Manchester City,32-248,1990,10,9,703,7.8,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,86dd77d1
477,Kyle Walker-Peters,eng ENG,DF,Southampton,25-293,1997,16,16,1402,15.6,1,0,1,0,0,2,0,0.7,0.7,0.9,1.6,984a5a64
478,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-066,1997,7,6,523,5.8,0,0,0,0,0,0,0,0.0,0.0,0.5,0.6,9e525177
479,Danny Ward,wls WAL,GK,Leicester City,29-223,1993,20,20,1800,20.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,d3ce0e89
